status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
no checking account;18;all credits at this bank paid back duly;car (used);1049;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; more than  7 yrs;car or other;21;none;for free;1;skilled employee or official;0 to 2;no;no;good
no checking account;9;all credits at this bank paid back duly;others;2799;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;36;none;for free;3-Feb;skilled employee or official;3 or more;no;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;retraining;841;less than 100 DM;4 between 7 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;23;none;for free;1;unskilled - resident;0 to 2;no;no;good
no checking account;12;all credits at this bank paid back duly;others;2122;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;39;none;for free;3-Feb;unskilled - resident;3 or more;no;yes;good
no checking account;12;all credits at this bank paid back duly;others;2171;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;car or other;38;bank;rent;3-Feb;unskilled - resident;0 to 2;no;yes;good
no checking account;10;all credits at this bank paid back duly;others;2241;unknown or no savings account; less than  1 yr; more than  35;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;48;none;for free;3-Feb;unskilled - resident;3 or more;no;yes;good
no checking account;8;all credits at this bank paid back duly;others;3398;unknown or no savings account;4 between 7 yrs; more than  35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;39;none;rent;3-Feb;unskilled - resident;0 to 2;no;yes;good
no checking account;6;all credits at this bank paid back duly;others;1361;unknown or no savings account; less than  1 yr;25 between 35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;40;none;rent;1;unskilled - resident;3 or more;no;yes;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;furniture or equipment;1098;unknown or no savings account;unemployed; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;65;none;rent;3-Feb;unemployed or unskilled - non-resident;0 to 2;no;no;good
less than 0 DM;24;no credits taken or all credits paid back duly;furniture or equipment;3758;between 100 and 500 DM;unemployed; more than  35;female : non-single or male : single;none; more than  7 yrs;real estate;23;none;for free;1;unemployed or unskilled - non-resident;0 to 2;no;no;good
no checking account;11;all credits at this bank paid back duly;others;3905;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;36;none;for free;3-Feb;skilled employee or official;3 or more;no;no;good
no checking account;30;all credits at this bank paid back duly;car (new);6187;less than 100 DM;4 between 7 yrs; more than  35;female : single;none; more than  7 yrs;building soc. savings agr. or life insurance;24;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;6;all credits at this bank paid back duly;furniture or equipment;1957;unknown or no savings account;4 between 7 yrs; more than  35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;31;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;48;existing credits paid back duly till now;business;7582;less than 100 DM;unemployed;25 between 35;male : married or widowed;none; more than  7 yrs;real estate;31;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;18;no credits taken or all credits paid back duly;furniture or equipment;1936;more than 1000 DM;4 between 7 yrs;25 between 35;female : single;none; more than  7 yrs;building soc. savings agr. or life insurance;23;none;for free;3-Feb;unskilled - resident;0 to 2;no;no;good
no checking account;6;no credits taken or all credits paid back duly;furniture or equipment;2647;between 100 and 500 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;44;none;for free;1;skilled employee or official;3 or more;no;no;good
no checking account;11;all credits at this bank paid back duly;others;3939;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;40;none;rent;3-Feb;unskilled - resident;3 or more;no;no;good
less than 0 DM;18;no credits taken or all credits paid back duly;furniture or equipment;3213;between 100 and 500 DM; less than  1 yr; more than  35;female : single;none;4 between 7 yrs;unknown  or  no property;25;none;for free;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;36;all credits at this bank paid back duly;furniture or equipment;2337;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;36;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;11;all credits at this bank paid back duly;others;7228;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none; more than  7 yrs;car or other;39;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
no checking account;6;all credits at this bank paid back duly;others;3676;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;37;none;for free;5-Apr;skilled employee or official;3 or more;no;no;good
less than 0 DM;12;all credits at this bank paid back duly;others;3124;unknown or no savings account; less than  1 yr; more than  35;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;49;bank;rent;3-Feb;unskilled - resident;3 or more;no;no;good
less than 0 DM;36;no credits taken or all credits paid back duly;domestic appliances;2384;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none; less than  1 yr;real estate;33;none;for free;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;12;all credits at this bank paid back duly;radio or television;1424;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;car or other;26;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;6;all credits at this bank paid back duly;others;4716;more than 1000 DM; less than  1 yr; more than  35;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;44;none;rent;3-Feb;unskilled - resident;3 or more;no;no;good
less than 0 DM;11;existing credits paid back duly till now;furniture or equipment;4771;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;51;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;12;no credits taken or all credits paid back duly;car (used);652;unknown or no savings account; more than  7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;car or other;24;none;for free;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;9;all credits at this bank paid back duly;furniture or equipment;1154;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;37;none;rent;5-Apr;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;others;3556;more than 1000 DM;1 between 4 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;real estate;29;none;rent;1;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;42;all credits at this bank paid back duly;car (new);4796;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;56;none;own;1;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;30;all credits at this bank paid back duly;furniture or equipment;3017;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;car or other;47;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;36;all credits at this bank paid back duly;others;3535;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;37;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;all credits at this bank paid back duly;others;6614;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;34;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;1376;between 100 and 500 DM;4 between 7 yrs; less than  20;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;28;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;15;no credits taken or all credits paid back duly;others;1721;unknown or no savings account; less than  1 yr;25 between 35;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;36;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;6;all credits at this bank paid back duly;others;860;unknown or no savings account; more than  7 yrs; more than  35;female : non-single or male : single;none; more than  7 yrs;real estate;39;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;others;1495;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; less than  1 yr;unknown  or  no property;38;none;rent;3-Feb;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;furniture or equipment;1934;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;real estate;26;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;car (new);3378;more than 1000 DM;1 between 4 yrs;25 between 35;male : married or widowed;none; less than  1 yr;car or other;31;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;car (new);3868;unknown or no savings account; more than  7 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;41;none;for free;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;domestic appliances;996;more than 1000 DM;4 between 7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;23;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;24;no credits taken or all credits paid back duly;business;1755;unknown or no savings account; more than  7 yrs; less than  20;female : non-single or male : single;guarantor; more than  7 yrs;unknown  or  no property;58;none;rent;1;unskilled - resident;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;others;1028;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none;4 between 7 yrs;unknown  or  no property;36;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
